Price,Space Ft2,Bedroom,Bathroom,Furnished,Laundry,Housing Type,Parking,Zipcode,Exterior,KitchenApp,KitchenWall,KitchenFloor,KitchenFurn,LivingWall,LivingFloor,LivingFurn,BedWall,BedFloor,BedFurn,BathWall,BathFloor,BathFurn,StudentHousing,interior
650,850,20,10,0,0,1,0,13790,2,2,3,3,2,3,3,2,3,3,2,3,3,2,0,34
650,600,10,10,0,3,1,4,13827,3,2,2,3,2,3,3,2,3,3,2,3,3,2,0,33
875,700,10,10,0,1,1,4,13045,2,2,2,3,2,3,3,2,3,2,1,3,3,2,0,31
1100,2120,30,15,0,2,1,2,13760,2,2,2,3,2,3,3,1,2,2,1,3,3,2,0,29
900,800,20,10,1,1,1,4,13905,2,2,2,3,2,3,3,2,3,3,3,3,2,2,0,33
2400,2000,30,25,0,4,0,0,13905,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
997,1344,30,20,0,4,10,4,13827,2,2,2,3,2,3,2,1,3,3,1,3,3,2,0,30
3400,3000,80,30,0,3,0,4,13905,2,2,2,3,2,3,2,3,2,2,2,3,3,2,0,31
725,800,20,10,0,1,9,4,13901,2,2,2,3,2,3,3,2,3,2,1,3,3,2,0,31
997,1344,30,20,0,4,10,4,13827,1,2,2,3,3,3,2,2,2,3,1,2,3,2,0,30
420,144,10,10,1,0,1,4,13760,1,1,2,1,2,3,3,2,2,1,2,2,1,1,0,23
650,154,10,10,1,0,1,4,13760,1,2,2,2,2,3,3,2,3,2,2,2,2,1,0,28
695,750,20,10,0,0,1,0,13901,2,2,2,3,2,3,2,1,3,2,2,3,3,2,0,30
1000,1100,30,10,0,4,0,4,13903,2,2,2,3,3,3,3,3,3,2,2,3,3,2,0,34
1196,1697,30,20,0,4,0,0,13068,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
1000,1300,30,10,0,4,0,2,13838,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
850,1100,10,10,0,1,1,7,13901,2,2,3,3,3,3,3,1,3,3,1,3,3,3,0,34
700,460,10,10,1,0,1,4,13815,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
2750,1900,50,20,1,3,0,4,13905,2,2,2,3,3,3,2,3,3,2,2,3,3,2,0,33
795,1080,30,10,0,4,1,4,13760,2,2,2,3,3,3,3,2,3,3,2,3,3,2,0,34
950,1100,30,15,0,3,1,4,13790,2,3,2,3,2,3,3,1,3,3,1,3,3,2,0,32
900,1810,30,20,1,2,0,2,13905,2,2,3,3,2,3,3,2,3,3,1,3,3,2,0,33
1200,2442,40,15,1,2,0,4,13905,3,2,2,3,3,3,3,3,3,3,3,3,3,3,0,37
1400,1400,40,15,1,4,0,4,13903,3,2,2,3,3,3,2,3,3,2,3,3,3,3,0,35
1700,2000,40,10,1,3,1,4,13905,3,3,3,3,3,3,3,2,3,3,2,3,3,2,0,36
675,800,30,10,0,0,1,4,13760,3,2,2,3,2,3,3,2,3,3,1,3,3,2,0,32
550,800,20,10,0,2,1,4,13827,2,2,2,3,2,3,3,1,3,3,1,3,3,2,0,31
1300,1800,40,20,1,2,0,4,13905,2,2,2,3,2,3,3,2,3,2,2,3,3,2,0,32
1500,1800,50,25,1,2,0,4,13905,3,2,2,3,3,3,3,2,3,2,2,3,3,2,0,33
1250,1725,30,30,0,4,0,1,13903,3,2,2,3,2,3,3,1,3,2,1,3,3,2,0,30
1000,1100,30,10,0,4,0,4,13903,2,2,2,3,2,3,3,2,3,2,2,3,3,2,0,32
525,550,10,10,0,4,1,4,13760,2,2,2,3,2,3,3,2,3,3,2,3,3,2,0,33
